QQQ, 305.65, 305.65, 305.65, 305.24, 310.09, 328.83, 324.88, 344.83, 355.10, 370.08, 348.67, 376.50, 384.02, 387.95, 354.47, 338.60, 353.97, 306.22, 301.36, 273.99, 308.98, 293.12, 261.77, 272.73, 287.85, 261.28, 289.77, 288.73, 315.65, 317.75, 342.80, 363.91, 378.47, 372.86, 353.41, 346.61, 384.11, 404.55, 412.95, 434.76, 439.73, 421.05, 446.95, 475.11, 467.88, 473.05, 484.77, 481.25, 507.00, 508.49, 520.32, 506.26, 467.15, 474.39, 517.93, 550.38, 564.36, 569.74, 599.67, 629.07, 619.25, 625.58, 611.97
SPY, 346.47, 346.47, 346.47, 356.11, 371.06, 391.97, 394.54, 402.08, 413.24, 425.54, 404.41, 434.17, 430.68, 449.02, 426.84, 414.24, 428.48, 392.08, 392.97, 359.01, 393.77, 377.70, 341.38, 370.65, 391.25, 367.02, 391.89, 382.04, 394.70, 402.53, 404.39, 429.00, 444.69, 437.46, 415.25, 407.66, 444.90, 463.34, 472.62, 497.29, 511.96, 492.84, 517.77, 534.32, 542.53, 555.21, 565.13, 561.81, 595.31, 579.04, 596.59, 589.02, 554.53, 551.38, 586.03, 614.33, 630.33, 643.27, 664.34, 682.06, 683.39, 689.17, 681.02
NVDA, 12.95, 12.95, 12.95, 13.68, 13.31, 14.97, 16.20, 19.95, 19.46, 22.34, 20.67, 25.51, 32.61, 29.35, 24.44, 24.34, 27.23, 18.51, 18.64, 15.13, 18.13, 15.07, 12.12, 13.48, 16.90, 14.60, 19.52, 23.19, 27.75, 27.73, 37.80, 42.27, 46.70, 49.32, 43.47, 40.75, 46.74, 49.49, 61.49, 79.07, 90.31, 86.36, 109.58, 123.48, 116.97, 119.32, 121.39, 132.71, 138.20, 134.24, 120.04, 124.89, 108.35, 108.90, 135.11, 157.96, 177.85, 174.16, 186.56, 202.48, 176.99, 180.92, 177.12
AAPL, 128.46, 128.46, 128.46, 118.04, 119.08, 128.16, 121.48, 133.75, 142.44, 148.27, 138.39, 146.51, 161.67, 173.92, 171.19, 161.73, 171.24, 154.61, 145.97, 134.28, 159.61, 154.41, 135.92, 150.81, 145.59, 128.00, 142.15, 145.22, 162.70, 167.41, 174.88, 191.64, 194.09, 185.62, 169.39, 168.95, 187.93, 190.73, 182.67, 179.06, 170.09, 168.95, 190.69, 209.20, 220.58, 227.46, 231.70, 224.65, 236.00, 249.29, 234.94, 240.75, 221.37, 211.78, 200.17, 204.74, 207.13, 231.65, 254.38, 270.11, 278.58, 278.03, 274.30
GOOGL, 90.68, 90.68, 90.68, 100.34, 102.35, 116.79, 116.96, 121.17, 133.72, 143.61, 132.67, 146.94, 140.83, 143.77, 134.29, 134.04, 138.02, 113.25, 112.91, 108.15, 115.45, 107.41, 94.93, 93.80, 100.23, 87.57, 98.10, 89.38, 102.95, 106.54, 121.95, 118.80, 131.72, 135.15, 129.88, 123.15, 131.54, 138.64, 139.05, 137.42, 149.80, 161.56, 171.21, 180.78, 170.45, 162.34, 164.80, 170.25, 168.10, 188.35, 203.22, 169.62, 154.04, 158.36, 171.27, 175.74, 191.60, 212.58, 242.72, 281.01, 319.97, 312.23, 307.83
MSFT, 222.57, 222.57, 222.57, 222.98, 226.75, 242.53, 240.13, 261.14, 274.64, 291.00, 272.28, 320.28, 319.29, 325.42, 300.90, 289.10, 298.93, 269.08, 263.60, 249.60, 272.83, 254.11, 226.82, 226.07, 248.48, 234.22, 242.02, 243.60, 282.27, 300.84, 321.53, 334.15, 329.62, 321.61, 310.48, 332.47, 372.59, 370.52, 391.74, 407.56, 415.31, 384.32, 409.79, 441.99, 413.71, 412.51, 426.30, 402.57, 419.52, 418.41, 412.02, 394.08, 373.39, 393.15, 457.91, 495.67, 531.63, 504.91, 516.98, 516.84, 491.09, 483.47, 473.77
AMZN, 160.31, 160.31, 160.31, 154.65, 154.70, 173.37, 161.15, 172.01, 166.38, 173.54, 164.25, 168.62, 175.35, 166.72, 149.57, 153.56, 163.00, 124.28, 120.21, 106.21, 134.95, 126.77, 113, 102.44, 96.54, 84, 103.13, 94.23, 103.29, 105.45, 120.58, 130.36, 133.68, 138.01, 127.12, 133.09, 146.09, 151.94, 155.20, 176.76, 180.38, 175, 176.44, 193.25, 186.98, 178.50, 186.33, 186.40, 207.89, 219.39, 237.68, 212.28, 190.26, 184.42, 205.01, 219.39, 234.11, 229, 219.57, 244.22, 233.22, 230.28, 223.47
AVGO, 40.60, 40.60, 40.60, 42.35, 41.79, 41.44, 42.91, 43.31, 44.44, 45.52, 44.39, 49.03, 51.06, 61.36, 54.38, 54.52, 58.44, 51.80, 54.21, 45.39, 50.45, 47.02, 41.83, 44.66, 52.35, 53.12, 56.04, 56.93, 61.46, 60.45, 77.95, 83.69, 87.17, 89.52, 80.56, 82.06, 90.28, 108.86, 115.61, 127.41, 129.86, 127.94, 130.72, 157.97, 158.60, 160.71, 170.26, 168.12, 160.51, 229.59, 219.71, 198.02, 166.25, 191.69, 241.09, 274.53, 293.20, 296.88, 329.35, 369.63, 402.96, 406.37, 344.25
META, 256.75, 256.75, 256.75, 256.04, 292.73, 323.09, 326.72, 345.58, 354.12, 377.06, 337.31, 321.59, 322.47, 334.29, 311.34, 209.74, 221.00, 199.24, 192.45, 160.26, 158.13, 161.93, 134.85, 92.59, 117.38, 119.60, 148.06, 173.87, 210.64, 238.85, 263.10, 285.22, 316.65, 294.08, 298.37, 299.42, 325.15, 351.79, 387.75, 487.13, 483.12, 427.99, 464.46, 501.66, 472.89, 519.18, 570.10, 565.80, 572.52, 583.67, 687.57, 666.64, 575.02, 548.21, 646.56, 737.03, 772.92, 738.20, 733.88, 648.35, 647.95, 652.71, 644.90
TSLA, 264.51, 264.51, 264.51, 225.17, 222.64, 236.48, 208.41, 226.57, 229.07, 245.24, 258.49, 371.33, 381.59, 352.26, 312.24, 290.14, 359.20, 290.25, 252.75, 224.47, 297.15, 275.61, 265.25, 227.54, 194.70, 123.18, 173.22, 205.71, 207.46, 164.31, 203.93, 261.77, 267.43, 258.08, 250.22, 200.84, 240.08, 248.48, 187.29, 201.88, 175.79, 183.28, 178.08, 197.88, 232.07, 214.11, 261.63, 249.85, 345.16, 403.84, 404.60, 292.98, 259.16, 282.16, 346.46, 317.66, 308.27, 333.87, 444.72, 456.56, 430.17, 446.89, 477.13
